date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,14.5,14.5,11.25,11.77,187200,201600,0.40519007670767704,-0.4769704964894236,0.013480668624088374,-0.17880826812706824,0.290402982219891
2026-04-28 00:00:00+05:30,12.3,12.3,6.51,7.25,469800,205200,0.4087848866124373,-0.3365591841650637,0.011955491242547247,-0.181510811870495,0.2725610834307539
2026-04-29 00:00:00+05:30,6.73,6.95,4.4,5.74,1036800,275400,0.43202419113554863,-0.27152019289465623,0.010223783432578562,-0.18477010729652468,0.24890879423895804
2026-04-30 00:00:00+05:30,6.39,8.8,6.2,6.75,909000,482400,0.4376332437475869,-0.3100657257401378,0.011090901279296727,-0.1996085888625702,0.2564745514000597
2026-05-04 00:00:00+05:30,6.45,6.8,4.35,4.7,466200,496800,0.450914580983072,-0.2439058483073251,0.010192025241267392,-0.20640073654108262,0.2140020544953959
2026-05-05 00:00:00+05:30,5.1,5.3,4.35,4.65,217800,482400,,,,,
2026-05-06 00:00:00+05:30,4.4,4.5,2.3,2.75,342000,450000,,,,,
2026-05-07 00:00:00+05:30,2.6,2.7,1.7,1.9,370800,423000,,,,,
2026-05-08 00:00:00+05:30,1.8,1.95,1.0,1.4,178200,414000,,,,,
2026-05-11 00:00:00+05:30,1.9,1.95,1.3,1.4,739800,754200,,,,,
2026-05-12 00:00:00+05:30,1.45,2.35,1.45,2.25,707400,855000,,,,,
2026-05-13 00:00:00+05:30,1.9,2.1,1.2,1.5,1314000,988200,,,,,
2026-05-14 00:00:00+05:30,1.5,1.5,0.35,0.45,2448000,1008000,,,,,
2026-05-15 00:00:00+05:30,0.55,0.55,0.2,0.35,1683000,613800,,,,,
